"account_id","class","follower","nation"
"19211550","fake",139115,"US"
"109883502","fake",8358,"FR"
"404123976","fake",59075,"UK"
"3708247336","fake",33588,"UK"
"1652541","official",20301512,"UK"
"4081106480","fake",252774,"US"
"50434933","fake",207074,"US"
"1564327968","fake",30477,"US"
"18588279","showbiz",8452830,NA
"25073877","politician",59104723,"US"
"15972264","fake",20632,"FR"
"253026595","fake",20409,"DE"
"124746336","fake",24346,"ES"
"27038703","fake",136026,"ES"
"271567977","fake",40004,"ES"
"12895152","fake",18274,"ES"
"3028247758","fake",119036,"FR"
"2561586612","fake",43759,"DE"
"801446214784925696","fake",62560,"UK"
"8350912","official",3016402,"FR"
"1935534786","fake",9643,"IT"
"14173315","official",6447830,"US"
"92849144","fake",47162,"FR"
"254706272","fake",26372,"UK"
"33300246","politician",356768,"UK"
"240847672","fake",31914,"FR"
"11348282","official",30553664,"US"
"24158261","politician",313348,"DE"
"238080747","fake",63705,"FR"
"3314289248","fake",70871,"UK"
"1433016846","fake",6953,"FR"
"27860681","official",2981048,"US"
"374184532","politician",428522,"FR"
"233406889","fake",1472,"ES"
"19017675","politician",1261981,"UK"
"1683455144","fake",5104,"IT"
"759251","official",42026506,"US"
"138203134","politician",3575399,"US"
"216776631","politician",9142006,"US"
"1953472298","fake",11760,"FR"
"10228272","social media",71566393,"US"
"1005608908180860929","fake",3013,"ES"
"68740712","politician",991446,"ES"
"3439292716","fake",127275,"ES"
"200568348","fake",49450,"ES"
"747807250819981312","politician",792493,"UK"
"7996082","official",6853983,"ES"
"78106895","fake",57154,"ES"
"39308549","official",480768,"US"
"2836421","official",2353875,"US"
"160952087","politician",952648,"UK"
"70385068","politician",1055762,"FR"
"18814998","politician",2220038,"FR"
"612473","official",9867947,"UK"
"2425151","social media",13503287,"US"
"783214","social media",56197422,"US"
"23022687","politician",3299658,"US"
"138749160","official",293647,"UK"
"19397942","politician",981051,"UK"
"24744541","official",8111880,"FR"
"87818409","official",7607738,"UK"
"11611502","politician",750068,"ES"
"34743251","trademark",8506235,"US"
"16973333","official",2684230,"UK"
"822215679726100480","official",25432469,"US"
"112764971","sport",14165042,"ES"
"14872237","sport",32089718,"ES"
"44196397","vip",26781277,NA
"2467791","official",13480931,"US"
"18762875","politician",3361683,"IT"
"335141638","showbiz",20217817,NA
"36483808","showbiz",11987980,NA
"4898091","official",6223286,"UK"
"1976143068","politician",3759040,"FR"
"500704345","official",18037457,"IT"
"7587032","official",4919282,"UK"
"17680050","official",152308,"UK"
"15438913","official",2332125,"UK"
"19923515","official",1655486,"ES"
"304287573","politician",266131,"ES"
"25555639","politician",446795,"ES"
"454779231","politician",27702,"UK"
"807095","official",43057337,"US"
"19977759","politician",160674,"UK"
"403544693","politician",408994,"IT"
"3097559537","fake",591,"US"
"46650770","official",138734,"UK"
"30364057","showbiz",12570043,"PS"
"91478624","official",15240160,"US"
"2817304093","fake",7820,"IT"
"1339835893","politician",24245237,"US"
"80802900","politician",354445,"UK"
"14569869","official",2148793,"UK"
"9624742","official",5246618,"US"
"813286","politician",105197107,"US"
"68440549","official",2914191,"FR"
"217749896","politician",2204200,"FR"
"338985020","official",3179796,"FR"
"133663801","official",2423494,"FR"
"30354991","politician",2461020,"US"
"20013148","official",1588327,"ES"
"5988062","official",23614840,"UK"
"38142665","official",2154100,"FR"
"32850100","fake",33701,"DE"
"270839361","politician",1004244,"IT"
"34613288","sport",14434858,"UK"
"153810216","politician",248656,"UK"
"180505807","social media",36512373,"US"
"17481977","official",1613728,"UK"
"428333","official",55260333,NA
"20536157","social media",21120813,"US"
"15439395","showbiz",12722053,NA
"818876014390603776","vip",11682169,"US"
"248687610","fake",17061,"FR"
"133624169","official",43103,"UK"
"51241574","official",13221633,"US"
"16343974","official",2617892,"UK"
"25067168","official",322589,"FR"
"5734902","official",2485411,"DE"
"14281466","official",41798,"UK"
"21866939","official",2092956,"UK"
"6107422","official",1199617,"UK"
"2834511","official",2518165,"DE"
"60813201","official",79090,"AU"
"1636590253","vip",11347330,"US"
"26163517","fake",57952,"US"
"970207298","politician",4893718,"US"
"189305014","official",62311,"US"
"5402612","official",39251595,"UK"
"19906615","official",169498,"UK"
"155659213","sport",78097943,"IT"
"14230524","showbiz",78711108,NA
"158021529","politician",41386,"UK"
"57350105","official",1166689,"DE"
"20399735","politician",31806,"DE"
"250831586","showbiz",13474698,NA
"3091376321","politician",1156892,"ES"
"9204502","official",1670521,"DE"
"1344951","official",10349130,"US"
"17248121","official",711890,"US"
"2671668217","fake",14337,"US"
"2649991","official",2287046,"FR"
"140070953","sport",12660689,NA
"39538010","vip",17682222,NA
"822215673812119553","official",18191863,"US"
"297169759","social media",12068003,NA
"3108351","official",16475177,"US"
"26073581","politician",1449538,"FR"
"15808765","politician",4210096,"US"
"29442313","politician",8235256,"US"
"15745368","politician",3831138,"US"
"552561770","politician",482017,"ES"
"19438626","politician",316585,"FR"
"818927131883356161","politician",3809211,"US"
"1426399706","fake",6089,"IT"
"2388765326","fake",6053,"DE"
"1330457336","politician",11013080,"US"
"21361705","politician",427577,"ES"
"588200416","politician",619492,"IT"
"16705726","politician",32151,"DE"
"17214331","fake",181985,"ES"
"11904592","politician",1039828,"ES"
"108994652","politician",1104704,"ES"
"197863865","politician",250296,"ES"
"372812630","politician",287623,"ES"
